name,lat,lon,instagram_handle,tags,type,time_category,energy_ramp,price,duration,cover,city,slug
Barcelona Wine Bar - West Midtown,33.7846525,-84.4108282,barcelonawinebar,"{wine,tapas,social,Spanish,dinner,share,night‑out,chic,urban,relaxed,date‑night,flavorful}",wine bar,Happy Hour,4,$$,2,img/venues/Barcelona Wine Bar - West Midtown.jpg,atl,barcelona-wine-bar-west-midtown
City Winery Atlanta,33.7716908,-84.3668292,citywineryatl,"{wine,concert,food,live,dinner,tasting,social,music,urban,friendly,elegant,event}",brunch,Happy Hour,4,$$$,2,img/venues/City Winery Atlanta.jpg,atl,city-winery-atlanta
Springvale Park,33.7584971,-84.3578751,,"{park,outdoor,picnic,trails,playground,family,walk,nature,scenic,dogs,community,calm}",park,Afternoon,1,$,1,img/venues/Springvale Park.jpg,atl,springvale-park
Freedom Park,33.7699337,-84.3483307,,"{trails,outdoor,run,stroll,nature,community,historic,picnic,jog,family,scenic,bikes}",park,Afternoon,1,$,1,img/venues/Freedom Park.jpg,atl,freedom-park
WellHaus Club,33.8386717,-84.3754365,wellhausclub,"{fitness,classes,wellness,barre,strength,studio,community,stretch,urban,health,rejuvenate,club}",spa,Midday,1,$$$,2,img/venues/WellHaus Club.jpg,atl,wellhaus-club
Ben & Jerry's,33.7633236,-84.357975,benjerryatlanta,"{icecream,dessert,scoop,sweet,casual,family,cone,flavor,creamy,chill,summer,tasty}",dessert,Afternoon,1,$,0.5,img/venues/Ben & Jerry's.jpg,atl,ben-and-jerrys
Manuel's Tavern,33.7707382,-84.3527686,manuels_tavern,"{tavern,pub,beer,local,burgers,casual,sports,social,chill,history,iconic,neighborhood}",bar,Happy Hour,2,$,1.5,img/venues/Manuel's Tavern.jpg,atl,manuels-tavern
Morelli’s Gourmet Ice Cream and Desserts,33.7819009,-84.3544719,morellisatl,"{icecream,desserts,sundae,family,scoop,creamy,casual,treat,favorite,summer,comfort,sweet}",dessert,Afternoon,1,$,0.75,img/venues/Morelli’s Gourmet Ice Cream and Desserts.jpg,atl,morellis-gourmet-ice-cream-and-desserts
La Tavola Trattoria,33.7825141,-84.3548969,latavola.atl,"{Italian,pasta,wine,dinner,romantic,brunch,date‑night,cozy,local,classic,family,rustic}",dinner,Afternoon,3,$$$,2,img/venues/La Tavola Trattoria.jpg,atl,la-tavola-trattoria
Atlanta Fish Market,33.8366606,-84.3787991,atlantafishmarket,"{seafood,dinner,fine‑dining,fresh,fish,elegant,oyster,wine,urban,refined,social,date‑night}",lunch,Afternoon,3,$$$,2,img/venues/Atlanta Fish Market.jpg,atl,atlanta-fish-market
Green Beans ATL,33.7333978,-84.3647268,greenbeansatl,"{vegetarian,healthy,cafe,lunch,fresh,local,organic,casual,plant‑based,green,daytime,quick}",coffee,Morning,1,$,1,img/venues/Green Beans ATL.jpg,atl,green-beans-atl
Gallery Anderson Smith,33.7931492,-84.3864376,galleryandersonsmith,"{Art,Exhibition,Painting,Sculpture,Collection,Modern,Culture,Design,Creative,Showcase,Gallery,Artist}",gallery,Afternoon,1,$,1,img/venues/Gallery Anderson Smith.jpg,atl,gallery-anderson-smith
For Five Coffee Atlanta,33.7846332,-84.3876815,forfive,"{Coffee,Espresso,Cafe,Workspace,Laptop,Roastery,Beans,Barista,Midtown,Casual,Seating,Study}",café,Midday,2,$$,1,img/venues/For Five Coffee Atlanta.jpg,atl,for-five-coffee-atlanta
E Ramen +,33.7851738,-84.3879785,e_ramenatl,"{Ramen,Broth,Noodles,Lunch,Dinner,Counter,Savory,Quick,Bowl,Slurp,Local,Japanese}",lunch,Afternoon,3,$$,1.5,img/venues/E Ramen.jpg,atl,e-ramen-plus
Poor Calvin's,33.7684665,-84.3822003,poorcalvins,"{Fusion,Asian,Dinner,Date,Chef,Plates,Upscale,Wine,Tasting,Night,Stylish,Cuisine}",brunch,Happy Hour,4,$$$,2,img/venues/Poor Calvin's.jpg,atl,poor-calvins
The Vortex Bar & Grill - Midtown,33.7790602,-84.3844407,thevortexatl,"{Burgers,Beer,Rock,Late,Bar,Dive,Music,Grunge,Heavy,Casual,Legendary,Midtown}",lunch,Happy Hour,4,$$,1.5,img/venues/The Vortex Bar & Grill - Midtown.jpg,atl,the-vortex-bar-and-grill-midtown
Inman Perk Coffee,33.7624591,-84.3593004,inmanperkatl,"{Coffee,Cafe,Neighborhood,Breakfast,Study,Pastries,Espresso,Casual,Morning,Chill,Laptop,Regulars}",café,Morning,2,$,1,img/venues/Inman Perk Coffee - Atlanta.jpg,atl,inman-perk-coffee
MF Sushi,33.7618505,-84.3588064,mfsushiatl,"{Sushi,Omakase,Japanese,Fish,Dinner,Reservation,Elegant,Tasting,Chef,Raw,Premium,Fine}",dinner,Evening,3,$$$$,2,img/venues/MF Sushi.jpg,atl,mf-sushi
Voga Italian Gelato,33.7623646,-84.3582969,vogaitaliangelato,"{Gelato,Dessert,Scoop,Cone,Chocolate,Vanilla,Treat,Family,Sugar,Cold,Flavor,Indulgence}",dessert,Afternoon,2,$$,0.5,img/venues/Voga Italian Gelato.jpg,atl,voga-italian-gelato
TEW Galleries,33.8183757,-84.3731992,tewgalleries,"{Art,Exhibition,Community,Black,Creative,Visual,Culture,Gallery,Showcase,Artist,Modern,Expression}",gallery,Midday,1,$,1,img/venues/TEW Galleries.jpg,atl,tew-galleries
Paschal's Restaurant & Bar,33.7494312,-84.4037907,paschalsrestaurant,"{Southern,History,Fried,Community,Legacy,Dining,Comfort,Tradition,Atlanta,Iconic,Blackowned,Local}",lunch,Afternoon,3,$$,2,img/venues/Paschal's Restaurant & Bar.jpg,atl,paschals-restaurant-and-bar
3 Parks Wine Shop - Glenwood Park,33.7411545,-84.3583321,3parkswine,"{Wine,Bottles,Tasting,Shop,Local,Retail,Selection,Pairing,Sommelier,Neighborhood,Gifts,Sip}",wine bar,Afternoon,2,$$,1,img/venues/3 Parks Wine Shop.jpg,atl,3-parks-wine-shop-glenwood-park
Disorder Vinyl,33.7541422,-84.3722642,disordervinyl,"{Records,Vinyl,Music,Crate,Digging,Rare,Audio,Shop,Collection,Turntable,Indie,Sound}",lifestyle,Afternoon,2,$,0.5,img/venues/Disorder Vinyl.jpg,atl,disorder-vinyl
Chrome Yellow,33.7539267,-84.371011,chromeyellowatl,"{Gifts,Zines,Stationery,Local,Handmade,Prints,Cards,Shop,Creative,Paper,Illustrations,Fun}",coffee,Morning,2,$,1,img/venues/Chrome Yellow.jpg,atl,chrome-yellow
Revolution Doughnuts & Coffee,33.7547034,-84.363021,revolutiondoughnuts,"{Doughnuts,Pastry,Coffee,Breakfast,Glaze,Sugar,Bakery,Morning,Treat,Local,Fresh,Casual}",bakery,Morning,1,$,0.5,img/venues/Revolution Doughnuts & Coffee.jpg,atl,revolution-doughnuts-and-coffee
Superica - Krog Street Market,33.757032,-84.3641813,supericatexmex,"{Tacos,Texmex,Margaritas,Fajitas,Lunch,Dinner,Crowd,Market,Flavor,Spice,Casual,Plates}",lunch,Afternoon,3,$$,2,img/venues/Superica - Krog Street Market.jpg,atl,superica-krog-street-market
Bantam Pub,33.7662753,-84.3629123,bantampub,"{Pub,Pints,British,Beer,Neighborhood,Small,Classic,Tavern,Comfort,Local,Quaint,Regulars}",bar,Evening,3,$,1.5,img/venues/Bantam Pub.jpg,atl,bantam-pub
Atrium - American Bistro & Martini Bar,33.7730349,-84.3650821,atriumatl,"{Martinis,Bistro,Cocktails,Dinner,Lounge,Date,Upscale,Plates,Bar,Night,City,Polished}",lunch,Afternoon,3,$$$,2,img/venues/Atrium - American Bistro & Martini Bar.jpg,atl,atrium-american-bistro-and-martini-bar
Dancing Goats Ponce City Market,33.7715128,-84.367403,dancinggoatscoffee,"{Coffee,Market,Espresso,Roastery,Walkup,Grab,Caffeine,Morning,Ponce,Quick,Beans,Fuel}",coffee,Morning,2,$,1,img/venues/Dancing Goats Ponce City Market.jpg,atl,dancing-goats-ponce-city-market
Buena Vida Tapas Bar,33.7693111,-84.3636566,buenavidatapas,"{Tapas,Cocktails,Spanish,Sharing,Night,Music,Sangria,Plates,Party,Flavor,Group,Bar}",lunch,Afternoon,3,$$,1.5,img/venues/Buena Vida Tapas Bar.jpg,atl,buena-vida-tapas-bar
E+ROSE Wellness Cafe - Old Fourth Ward,33.7683932,-84.3630005,eandrosewellness,"{Smoothies,Bowls,Juice,Vegan,Organic,Cafe,Nutrition,Wellness,Superfoods,Breakfast,Lunch,Cleanse}",café,Midday,2,$,1,img/venues/E+ROSE Wellness Cafe - Old Fourth Ward.jpg,atl,e-plus-rose-wellness-cafe-old-fourth-ward
TWO urban licks,33.7684531,-84.3612569,twourbanlicks,"{fire pit,American,Dinner,Music,Patio,Wine,Chef,Plates,Date,City,Smoke,Grill}",brunch,Afternoon,3,$$$,2,img/venues/TWO urban licks.jpg,atl,two-urban-licks
Azara,33.768937,-84.3615985,azaraatl,"{African,Spices,Dinner,Cuisine,Wine,Plates,Intimate,Cultural,Chefdriven,Flavor,Restaurant,Experience}",lunch,Afternoon,3,$$$,2,img/venues/Azara.jpg,atl,azara
